"temp","Points:0","Points:1","Points:2"
548.96,0,0.0004,0.0003475
548.97,2.6e-06,0.0004,0.0003475
549.28,5.2e-06,0.0004,0.0003475
549.62,7.8e-06,0.0004,0.0003475
550.23,1.04e-05,0.0004,0.0003475
550.9,1.3e-05,0.0004,0.0003475
551.82,1.56e-05,0.0004,0.0003475
552.81,1.82e-05,0.0004,0.0003475
554.03,2.08e-05,0.0004,0.0003475
555.35,2.34e-05,0.0004,0.0003475
556.87,2.6e-05,0.0004,0.0003475
558.51,2.86e-05,0.0004,0.0003475
560.32,3.12e-05,0.0004,0.0003475
562.27,3.38e-05,0.0004,0.0003475
564.37,3.64e-05,0.0004,0.0003475
566.64,3.9e-05,0.0004,0.0003475
569.03,4.16e-05,0.0004,0.0003475
571.6,4.42e-05,0.0004,0.0003475
574.27,4.68e-05,0.0004,0.0003475
577.14,4.94e-05,0.0004,0.0003475
580.09,5.2e-05,0.0004,0.0003475
583.25,5.46e-05,0.0004,0.0003475
586.46,5.72e-05,0.0004,0.0003475
589.91,5.98e-05,0.0004,0.0003475
593.39,6.24e-05,0.0004,0.0003475
597.11,6.5e-05,0.0004,0.0003475
600.85,6.76e-05,0.0004,0.0003475
604.82,7.02e-05,0.0004,0.0003475
608.83,7.28e-05,0.0004,0.0003475
613.04,7.54e-05,0.0004,0.0003475
617.3,7.8e-05,0.0004,0.0003475
621.74,8.06e-05,0.0004,0.0003475
626.24,8.32e-05,0.0004,0.0003475
630.9,8.58e-05,0.0004,0.0003475
635.64,8.84e-05,0.0004,0.0003475
640.51,9.1e-05,0.0004,0.0003475
645.46,9.36e-05,0.0004,0.0003475
650.53,9.62e-05,0.0004,0.0003475
655.69,9.88e-05,0.0004,0.0003475
660.95,0.0001014,0.0004,0.0003475
666.31,0.000104,0.0004,0.0003475
671.74,0.0001066,0.0004,0.0003475
677.28,0.0001092,0.0004,0.0003475
682.88,0.0001118,0.0004,0.0003475
688.59,0.0001144,0.0004,0.0003475
694.34,0.000117,0.0004,0.0003475
700.21,0.0001196,0.0004,0.0003475
706.1,0.0001222,0.0004,0.0003475
712.11,0.0001248,0.0004,0.0003475
718.14,0.0001274,0.0004,0.0003475
724.27,0.00013,0.0004,0.0003475
730.42,0.0001326,0.0004,0.0003475
736.66,0.0001352,0.0004,0.0003475
742.92,0.0001378,0.0004,0.0003475
749.25,0.0001404,0.0004,0.0003475
755.61,0.000143,0.0004,0.0003475
762.03,0.0001456,0.0004,0.0003475
768.46,0.0001482,0.0004,0.0003475
774.95,0.0001508,0.0004,0.0003475
781.45,0.0001534,0.0004,0.0003475
787.99,0.000156,0.0004,0.0003475
794.55,0.0001586,0.0004,0.0003475
801.13,0.0001612,0.0004,0.0003475
807.73,0.0001638,0.0004,0.0003475
814.34,0.0001664,0.0004,0.0003475
820.97,0.000169,0.0004,0.0003475
827.6,0.0001716,0.0004,0.0003475
834.24,0.0001742,0.0004,0.0003475
840.88,0.0001768,0.0004,0.0003475
847.52,0.0001794,0.0004,0.0003475
854.15,0.000182,0.0004,0.0003475
860.77,0.0001846,0.0004,0.0003475
867.39,0.0001872,0.0004,0.0003475
873.99,0.0001898,0.0004,0.0003475
880.59,0.0001924,0.0004,0.0003475
887.14,0.000195,0.0004,0.0003475
893.7,0.0001976,0.0004,0.0003475
900.21,0.0002002,0.0004,0.0003475
906.71,0.0002028,0.0004,0.0003475
913.16,0.0002054,0.0004,0.0003475
