"temp","Points:0","Points:1","Points:2"
482.95,0,0.0004,0.0003475
482.96,2.6e-06,0.0004,0.0003475
483.3,5.2e-06,0.0004,0.0003475
483.68,7.8e-06,0.0004,0.0003475
484.36,1.04e-05,0.0004,0.0003475
485.1,1.3e-05,0.0004,0.0003475
486.11,1.56e-05,0.0004,0.0003475
487.21,1.82e-05,0.0004,0.0003475
488.56,2.08e-05,0.0004,0.0003475
490.02,2.34e-05,0.0004,0.0003475
491.69,2.6e-05,0.0004,0.0003475
493.5,2.86e-05,0.0004,0.0003475
495.5,3.12e-05,0.0004,0.0003475
497.67,3.38e-05,0.0004,0.0003475
499.99,3.64e-05,0.0004,0.0003475
502.49,3.9e-05,0.0004,0.0003475
505.13,4.16e-05,0.0004,0.0003475
507.96,4.42e-05,0.0004,0.0003475
510.9,4.68e-05,0.0004,0.0003475
514.06,4.94e-05,0.0004,0.0003475
517.29,5.2e-05,0.0004,0.0003475
520.77,5.46e-05,0.0004,0.0003475
524.29,5.72e-05,0.0004,0.0003475
528.09,5.98e-05,0.0004,0.0003475
531.92,6.24e-05,0.0004,0.0003475
536.06,6.5e-05,0.0004,0.0003475
540.23,6.76e-05,0.0004,0.0003475
544.68,7.02e-05,0.0004,0.0003475
549.15,7.28e-05,0.0004,0.0003475
553.85,7.54e-05,0.0004,0.0003475
558.6,7.8e-05,0.0004,0.0003475
563.54,8.06e-05,0.0004,0.0003475
568.55,8.32e-05,0.0004,0.0003475
573.73,8.58e-05,0.0004,0.0003475
578.99,8.84e-05,0.0004,0.0003475
584.39,9.1e-05,0.0004,0.0003475
589.89,9.36e-05,0.0004,0.0003475
595.52,9.62e-05,0.0004,0.0003475
601.25,9.88e-05,0.0004,0.0003475
607.08,0.0001014,0.0004,0.0003475
613.02,0.000104,0.0004,0.0003475
619.04,0.0001066,0.0004,0.0003475
625.18,0.0001092,0.0004,0.0003475
631.39,0.0001118,0.0004,0.0003475
637.71,0.0001144,0.0004,0.0003475
644.08,0.000117,0.0004,0.0003475
650.57,0.0001196,0.0004,0.0003475
657.09,0.0001222,0.0004,0.0003475
663.73,0.0001248,0.0004,0.0003475
670.39,0.0001274,0.0004,0.0003475
677.17,0.00013,0.0004,0.0003475
683.95,0.0001326,0.0004,0.0003475
690.83,0.0001352,0.0004,0.0003475
697.73,0.0001378,0.0004,0.0003475
704.7,0.0001404,0.0004,0.0003475
711.69,0.000143,0.0004,0.0003475
718.74,0.0001456,0.0004,0.0003475
725.81,0.0001482,0.0004,0.0003475
732.92,0.0001508,0.0004,0.0003475
740.04,0.0001534,0.0004,0.0003475
747.19,0.000156,0.0004,0.0003475
754.36,0.0001586,0.0004,0.0003475
761.54,0.0001612,0.0004,0.0003475
768.73,0.0001638,0.0004,0.0003475
775.93,0.0001664,0.0004,0.0003475
783.12,0.000169,0.0004,0.0003475
790.31,0.0001716,0.0004,0.0003475
797.5,0.0001742,0.0004,0.0003475
804.68,0.0001768,0.0004,0.0003475
811.83,0.0001794,0.0004,0.0003475
818.98,0.000182,0.0004,0.0003475
826.1,0.0001846,0.0004,0.0003475
833.2,0.0001872,0.0004,0.0003475
840.26,0.0001898,0.0004,0.0003475
847.31,0.0001924,0.0004,0.0003475
854.29,0.000195,0.0004,0.0003475
861.27,0.0001976,0.0004,0.0003475
868.17,0.0002002,0.0004,0.0003475
875.06,0.0002028,0.0004,0.0003475
881.86,0.0002054,0.0004,0.0003475
888.65,0.000208,0.0004,0.0003475
895.36,0.0002106,0.0004,0.0003475
902.03,0.0002132,0.0004,0.0003475
908.63,0.0002158,0.0004,0.0003475
915.18,0.0002184,0.0004,0.0003475
921.66,0.000221,0.0004,0.0003475
928.08,0.0002236,0.0004,0.0003475
934.42,0.0002262,0.0004,0.0003475
940.7,0.0002288,0.0004,0.0003475
946.9,0.0002314,0.0004,0.0003475
953.02,0.000234,0.0004,0.0003475
959.08,0.0002366,0.0004,0.0003475
965.04,0.0002392,0.0004,0.0003475
970.94,0.0002418,0.0004,0.0003475
976.72,0.0002444,0.0004,0.0003475
982.45,0.000247,0.0004,0.0003475
988.02,0.0002496,0.0004,0.0003475
993.56,0.0002522,0.0004,0.0003475
998.91,0.0002548,0.0004,0.0003475
1004.2,0.0002574,0.0004,0.0003475
1009.4,0.00026,0.0004,0.0003475
1014.5,0.0002626,0.0004,0.0003475
1019.5,0.0002652,0.0004,0.0003475
1024.5,0.0002678,0.0004,0.0003475
1029.5,0.0002704,0.0004,0.0003475
1034.5,0.000273,0.0004,0.0003475
1039.3,0.0002756,0.0004,0.0003475
1044.1,0.0002782,0.0004,0.0003475
1048.7,0.0002808,0.0004,0.0003475
1053.2,0.0002834,0.0004,0.0003475
1057.7,0.000286,0.0004,0.0003475
1062.1,0.0002886,0.0004,0.0003475
1066.5,0.0002912,0.0004,0.0003475
