"temp","Points:0","Points:1","Points:2"
534.42,0,0.0004,0.00034562
534.42,2.6e-06,0.0004,0.00034562
534.46,5.2e-06,0.0004,0.00034562
535.03,7.8e-06,0.0004,0.00034562
535.6,1.04e-05,0.0004,0.00034562
536.17,1.3e-05,0.0004,0.00034562
536.88,1.56e-05,0.0004,0.00034562
538.01,1.82e-05,0.0004,0.00034562
539.15,2.08e-05,0.0004,0.00034562
540.28,2.34e-05,0.0004,0.00034562
541.63,2.6e-05,0.0004,0.00034562
543.32,2.86e-05,0.0004,0.00034562
545.01,3.12e-05,0.0004,0.00034562
546.7,3.38e-05,0.0004,0.00034562
548.68,3.64e-05,0.0004,0.00034562
550.91,3.9e-05,0.0004,0.00034562
553.13,4.16e-05,0.0004,0.00034562
555.36,4.42e-05,0.0004,0.00034562
557.95,4.68e-05,0.0004,0.00034562
560.7,4.94e-05,0.0004,0.00034562
563.45,5.2e-05,0.0004,0.00034562
566.2,5.46e-05,0.0004,0.00034562
569.37,5.72e-05,0.0004,0.00034562
572.61,5.98e-05,0.0004,0.00034562
575.86,6.24e-05,0.0004,0.00034562
579.1,6.5e-05,0.0004,0.00034562
582.82,6.76e-05,0.0004,0.00034562
586.53,7.02e-05,0.0004,0.00034562
590.25,7.28e-05,0.0004,0.00034562
594.03,7.54e-05,0.0004,0.00034562
598.18,7.8e-05,0.0004,0.00034562
602.34,8.06e-05,0.0004,0.00034562
606.49,8.32e-05,0.0004,0.00034562
610.76,8.58e-05,0.0004,0.00034562
615.32,8.84e-05,0.0004,0.00034562
619.88,9.1e-05,0.0004,0.00034562
624.43,9.36e-05,0.0004,0.00034562
629.16,9.62e-05,0.0004,0.00034562
634.08,9.88e-05,0.0004,0.00034562
639.01,0.0001014,0.0004,0.00034562
643.93,0.000104,0.0004,0.00034562
649.05,0.0001066,0.0004,0.00034562
654.3,0.0001092,0.0004,0.00034562
659.55,0.0001118,0.0004,0.00034562
664.8,0.0001144,0.0004,0.00034562
670.27,0.000117,0.0004,0.00034562
675.8,0.0001196,0.0004,0.00034562
681.33,0.0001222,0.0004,0.00034562
686.86,0.0001248,0.0004,0.00034562
692.61,0.0001274,0.0004,0.00034562
698.38,0.00013,0.0004,0.00034562
704.14,0.0001326,0.0004,0.00034562
709.93,0.0001352,0.0004,0.00034562
