"temp","Points:0","Points:1","Points:2"
547.97,0,0.0004,0.0003456
547.97,2.6e-06,0.0004,0.0003456
548.02,5.2e-06,0.0004,0.0003456
548.69,7.8e-06,0.0004,0.0003456
549.35,1.04e-05,0.0004,0.0003456
550.02,1.3e-05,0.0004,0.0003456
550.83,1.56e-05,0.0004,0.0003456
552.15,1.82e-05,0.0004,0.0003456
553.47,2.08e-05,0.0004,0.0003456
554.79,2.34e-05,0.0004,0.0003456
556.36,2.6e-05,0.0004,0.0003456
558.33,2.86e-05,0.0004,0.0003456
560.29,3.12e-05,0.0004,0.0003456
562.26,3.38e-05,0.0004,0.0003456
564.56,3.64e-05,0.0004,0.0003456
567.15,3.9e-05,0.0004,0.0003456
569.75,4.16e-05,0.0004,0.0003456
572.34,4.42e-05,0.0004,0.0003456
575.35,4.68e-05,0.0004,0.0003456
578.55,4.94e-05,0.0004,0.0003456
581.74,5.2e-05,0.0004,0.0003456
584.94,5.46e-05,0.0004,0.0003456
588.62,5.72e-05,0.0004,0.0003456
592.4,5.98e-05,0.0004,0.0003456
596.17,6.24e-05,0.0004,0.0003456
599.94,6.5e-05,0.0004,0.0003456
604.26,6.76e-05,0.0004,0.0003456
608.58,7.02e-05,0.0004,0.0003456
612.89,7.28e-05,0.0004,0.0003456
617.29,7.54e-05,0.0004,0.0003456
622.11,7.8e-05,0.0004,0.0003456
626.93,8.06e-05,0.0004,0.0003456
631.76,8.32e-05,0.0004,0.0003456
636.72,8.58e-05,0.0004,0.0003456
642.01,8.84e-05,0.0004,0.0003456
647.3,9.1e-05,0.0004,0.0003456
652.58,9.36e-05,0.0004,0.0003456
658.06,9.62e-05,0.0004,0.0003456
663.76,9.88e-05,0.0004,0.0003456
669.47,0.0001014,0.0004,0.0003456
675.17,0.000104,0.0004,0.0003456
681.1,0.0001066,0.0004,0.0003456
687.17,0.0001092,0.0004,0.0003456
693.25,0.0001118,0.0004,0.0003456
699.32,0.0001144,0.0004,0.0003456
705.64,0.000117,0.0004,0.0003456
712.03,0.0001196,0.0004,0.0003456
718.42,0.0001222,0.0004,0.0003456
724.82,0.0001248,0.0004,0.0003456
731.46,0.0001274,0.0004,0.0003456
738.12,0.00013,0.0004,0.0003456
744.78,0.0001326,0.0004,0.0003456
751.46,0.0001352,0.0004,0.0003456
758.33,0.0001378,0.0004,0.0003456
765.21,0.0001404,0.0004,0.0003456
772.08,0.000143,0.0004,0.0003456
778.99,0.0001456,0.0004,0.0003456
786.01,0.0001482,0.0004,0.0003456
793.04,0.0001508,0.0004,0.0003456
800.07,0.0001534,0.0004,0.0003456
807.13,0.000156,0.0004,0.0003456
814.26,0.0001586,0.0004,0.0003456
821.39,0.0001612,0.0004,0.0003456
828.51,0.0001638,0.0004,0.0003456
835.66,0.0001664,0.0004,0.0003456
842.83,0.000169,0.0004,0.0003456
850,0.0001716,0.0004,0.0003456
857.17,0.0001742,0.0004,0.0003456
864.33,0.0001768,0.0004,0.0003456
871.5,0.0001794,0.0004,0.0003456
878.66,0.000182,0.0004,0.0003456
885.82,0.0001846,0.0004,0.0003456
892.94,0.0001872,0.0004,0.0003456
900.04,0.0001898,0.0004,0.0003456
907.15,0.0001924,0.0004,0.0003456
914.25,0.000195,0.0004,0.0003456
921.26,0.0001976,0.0004,0.0003456
928.26,0.0002002,0.0004,0.0003456
935.26,0.0002028,0.0004,0.0003456
942.24,0.0002054,0.0004,0.0003456
949.1,0.000208,0.0004,0.0003456
955.95,0.0002106,0.0004,0.0003456
962.81,0.0002132,0.0004,0.0003456
969.61,0.0002158,0.0004,0.0003456
976.28,0.0002184,0.0004,0.0003456
982.95,0.000221,0.0004,0.0003456
989.62,0.0002236,0.0004,0.0003456
996.19,0.0002262,0.0004,0.0003456
1002.6,0.0002288,0.0004,0.0003456
1009.1,0.0002314,0.0004,0.0003456
1015.5,0.000234,0.0004,0.0003456
1021.8,0.0002366,0.0004,0.0003456
1028.1,0.0002392,0.0004,0.0003456
1034.3,0.0002418,0.0004,0.0003456
1040.5,0.0002444,0.0004,0.0003456
1046.5,0.000247,0.0004,0.0003456
1052.4,0.0002496,0.0004,0.0003456
1058.3,0.0002522,0.0004,0.0003456
1064.3,0.0002548,0.0004,0.0003456
