"temp","mpPhase","mpLiqPhase","vtkGhostType","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
493.72,0,0,0,1,0,0,0.0004,0.000345
493.72,0,0,0,1,2.6e-06,2.6e-06,0.0004,0.000345
493.86,0,0,0,1,5.2e-06,5.2e-06,0.0004,0.000345
495.6,0,0,0,1,7.8e-06,7.8e-06,0.0004,0.000345
497.34,0,0,0,1,1.04e-05,1.04e-05,0.0004,0.000345
499.08,0,0,0,1,1.3e-05,1.3e-05,0.0004,0.000345
501.22,0,0,0,1,1.56e-05,1.56e-05,0.0004,0.000345
504.69,0,0,0,1,1.82e-05,1.82e-05,0.0004,0.000345
508.16,0,0,0,1,2.08e-05,2.08e-05,0.0004,0.000345
511.64,0,0,0,1,2.34e-05,2.34e-05,0.0004,0.000345
515.77,0,0,0,1,2.6e-05,2.6e-05,0.0004,0.000345
520.97,0,0,0,1,2.86e-05,2.86e-05,0.0004,0.000345
526.17,0,0,0,1,3.12e-05,3.12e-05,0.0004,0.000345
531.37,0,0,0,1,3.38e-05,3.38e-05,0.0004,0.000345
537.5,0,0,0,1,3.64e-05,3.64e-05,0.0004,0.000345
544.42,0,0,0,1,3.9e-05,3.9e-05,0.0004,0.000345
551.34,0,0,0,1,4.16e-05,4.16e-05,0.0004,0.000345
558.26,0,0,0,1,4.42e-05,4.42e-05,0.0004,0.000345
566.37,0,0,0,1,4.68e-05,4.68e-05,0.0004,0.000345
575,0,0,0,1,4.94e-05,4.94e-05,0.0004,0.000345
583.62,0,0,0,1,5.2e-05,5.2e-05,0.0004,0.000345
592.25,0,0,0,1,5.46e-05,5.46e-05,0.0004,0.000345
602.3,0,0,0,1,5.72e-05,5.72e-05,0.0004,0.000345
612.6,0,0,0,1,5.98e-05,5.98e-05,0.0004,0.000345
622.91,0,0,0,1,6.24e-05,6.24e-05,0.0004,0.000345
633.21,0,0,0,1,6.5e-05,6.5e-05,0.0004,0.000345
645.14,0,0,0,1,6.76e-05,6.76e-05,0.0004,0.000345
657.07,0,0,0,1,7.02e-05,7.02e-05,0.0004,0.000345
668.99,0,0,0,1,7.28e-05,7.28e-05,0.0004,0.000345
681.16,0,0,0,1,7.54e-05,7.54e-05,0.0004,0.000345
694.62,0,0,0,1,7.8e-05,7.8e-05,0.0004,0.000345
708.09,0,0,0,1,8.06e-05,8.06e-05,0.0004,0.000345
721.56,0,0,0,1,8.32e-05,8.32e-05,0.0004,0.000345
735.46,0,0,0,1,8.58e-05,8.58e-05,0.0004,0.000345
750.36,0,0,0,1,8.84e-05,8.84e-05,0.0004,0.000345
765.25,0,0,0,1,9.1e-05,9.1e-05,0.0004,0.000345
780.15,0,0,0,1,9.36e-05,9.36e-05,0.0004,0.000345
795.63,0,0,0,1,9.62e-05,9.62e-05,0.0004,0.000345
811.8,0,0,0,1,9.88e-05,9.88e-05,0.0004,0.000345
827.98,0,0,0,1,0.0001014,0.0001014,0.0004,0.000345
844.15,0,0,0,1,0.000104,0.000104,0.0004,0.000345
860.99,0,0,0,1,0.0001066,0.0001066,0.0004,0.000345
878.25,0,0,0,1,0.0001092,0.0001092,0.0004,0.000345
895.52,0,0,0,1,0.0001118,0.0001118,0.0004,0.000345
912.78,0,0,0,1,0.0001144,0.0001144,0.0004,0.000345
930.72,0,0,0,1,0.000117,0.000117,0.0004,0.000345
948.85,0,0,0,1,0.0001196,0.0001196,0.0004,0.000345
966.99,0,0,0,1,0.0001222,0.0001222,0.0004,0.000345
985.12,0,0,0,1,0.0001248,0.0001248,0.0004,0.000345
1003.8,0.24,0,0,1,0.0001274,0.0001274,0.0004,0.000345
1022.6,0.5,0,0,1,0.00013,0.00013,0.0004,0.000345
1041.3,0.76,0,0,1,0.0001326,0.0001326,0.0004,0.000345
1060.1,1,0.02,0,1,0.0001352,0.0001352,0.0004,0.000345
1079.2,1,0.28,0,1,0.0001378,0.0001378,0.0004,0.000345
1098.3,1,0.54,0,1,0.0001404,0.0001404,0.0004,0.000345
1117.4,1,0.8,0,1,0.000143,0.000143,0.0004,0.000345
1136.5,1,1,0,1,0.0001456,0.0001456,0.0004,0.000345
1155.7,1,1,0,1,0.0001482,0.0001482,0.0004,0.000345
1174.9,1,1,0,1,0.0001508,0.0001508,0.0004,0.000345
1194,1,1,0,1,0.0001534,0.0001534,0.0004,0.000345
1213.1,1,1,0,1,0.000156,0.000156,0.0004,0.000345
1232,1,1,0,1,0.0001586,0.0001586,0.0004,0.000345
1250.9,1,1,0,1,0.0001612,0.0001612,0.0004,0.000345
1269.8,1,1,0,1,0.0001638,0.0001638,0.0004,0.000345
1288.5,1,1,0,1,0.0001664,0.0001664,0.0004,0.000345
1306.9,1,1,0,1,0.000169,0.000169,0.0004,0.000345
1325.3,1,1,0,1,0.0001716,0.0001716,0.0004,0.000345
1343.7,1,1,0,1,0.0001742,0.0001742,0.0004,0.000345
1361.5,1,1,0,1,0.0001768,0.0001768,0.0004,0.000345
1379.1,1,1,0,1,0.0001794,0.0001794,0.0004,0.000345
1396.6,1,1,0,1,0.000182,0.000182,0.0004,0.000345
1414.2,1,1,0,1,0.0001846,0.0001846,0.0004,0.000345
1430.9,1,1,0,1,0.0001872,0.0001872,0.0004,0.000345
1447.4,1,1,0,1,0.0001898,0.0001898,0.0004,0.000345
1463.9,1,1,0,1,0.0001924,0.0001924,0.0004,0.000345
1480.4,1,1,0,1,0.000195,0.000195,0.0004,0.000345
1495.5,1,1,0,1,0.0001976,0.0001976,0.0004,0.000345
1510.7,1,1,0,1,0.0002002,0.0002002,0.0004,0.000345
1525.8,1,1,0,1,0.0002028,0.0002028,0.0004,0.000345
1540.7,1,1,0,1,0.0002054,0.0002054,0.0004,0.000345
1554.3,1,1,0,1,0.000208,0.000208,0.0004,0.000345
1567.8,1,1,0,1,0.0002106,0.0002106,0.0004,0.000345
1581.4,1,1,0,1,0.0002132,0.0002132,0.0004,0.000345
1593.8,1,1,0,1,0.0002158,0.0002158,0.0004,0.000345
1603.8,1,1,0,1,0.0002184,0.0002184,0.0004,0.000345
1613.8,1,1,0,1,0.000221,0.000221,0.0004,0.000345
1623.7,1,1,0,1,0.0002236,0.0002236,0.0004,0.000345
1632.7,1,1,0,1,0.0002262,0.0002262,0.0004,0.000345
1640.6,1,1,0,1,0.0002288,0.0002288,0.0004,0.000345
1648.4,1,1,0,1,0.0002314,0.0002314,0.0004,0.000345
1656.3,1,1,0,1,0.000234,0.000234,0.0004,0.000345
1664.1,1,1,0,1,0.0002366,0.0002366,0.0004,0.000345
1672,1,1,0,1,0.0002392,0.0002392,0.0004,0.000345
1679.8,1,1,0,1,0.0002418,0.0002418,0.0004,0.000345
1687.6,1,1,0,1,0.0002444,0.0002444,0.0004,0.000345
1695.3,1,1,0,1,0.000247,0.000247,0.0004,0.000345
1703,1,1,0,1,0.0002496,0.0002496,0.0004,0.000345
1710.6,1,1,0,1,0.0002522,0.0002522,0.0004,0.000345
1718.3,1,1,0,1,0.0002548,0.0002548,0.0004,0.000345
1725.8,1,1,0,1,0.0002574,0.0002574,0.0004,0.000345
1733.3,1,1,0,1,0.00026,0.00026,0.0004,0.000345
1740.7,1,1,0,1,0.0002626,0.0002626,0.0004,0.000345
1748.2,1,1,0,1,0.0002652,0.0002652,0.0004,0.000345
1755.4,1,1,0,1,0.0002678,0.0002678,0.0004,0.000345
1762.6,1,1,0,1,0.0002704,0.0002704,0.0004,0.000345
1769.8,1,1,0,1,0.000273,0.000273,0.0004,0.000345
1776.9,1,1,0,1,0.0002756,0.0002756,0.0004,0.000345
1783.8,1,1,0,1,0.0002782,0.0002782,0.0004,0.000345
1790.7,1,1,0,1,0.0002808,0.0002808,0.0004,0.000345
1797.6,1,1,0,1,0.0002834,0.0002834,0.0004,0.000345
1804.3,1,1,0,1,0.000286,0.000286,0.0004,0.000345
1810.9,1,1,0,1,0.0002886,0.0002886,0.0004,0.000345
1817.4,1,1,0,1,0.0002912,0.0002912,0.0004,0.000345
1824,1,1,0,1,0.0002938,0.0002938,0.0004,0.000345
1830.3,1,1,0,1,0.0002964,0.0002964,0.0004,0.000345
1836.5,1,1,0,1,0.000299,0.000299,0.0004,0.000345
1842.7,1,1,0,1,0.0003016,0.0003016,0.0004,0.000345
1848.9,1,1,0,1,0.0003042,0.0003042,0.0004,0.000345
1854.8,1,1,0,1,0.0003068,0.0003068,0.0004,0.000345
1860.7,1,1,0,1,0.0003094,0.0003094,0.0004,0.000345
1866.5,1,1,0,1,0.000312,0.000312,0.0004,0.000345
1872.3,1,1,0,1,0.0003146,0.0003146,0.0004,0.000345
1877.9,1,1,0,1,0.0003172,0.0003172,0.0004,0.000345
1883.3,1,1,0,1,0.0003198,0.0003198,0.0004,0.000345
1888.8,1,1,0,1,0.0003224,0.0003224,0.0004,0.000345
1894.3,1,1,0,1,0.000325,0.000325,0.0004,0.000345
1899.6,1,1,0,1,0.0003276,0.0003276,0.0004,0.000345
1904.9,1,1,0,1,0.0003302,0.0003302,0.0004,0.000345
1910.2,1,1,0,1,0.0003328,0.0003328,0.0004,0.000345
1915.4,1,1,0,1,0.0003354,0.0003354,0.0004,0.000345
1920.5,1,1,0,1,0.000338,0.000338,0.0004,0.000345
1925.6,1,1,0,1,0.0003406,0.0003406,0.0004,0.000345
1930.7,1,1,0,1,0.0003432,0.0003432,0.0004,0.000345
1935.7,1,1,0,1,0.0003458,0.0003458,0.0004,0.000345
1940.5,1,1,0,1,0.0003484,0.0003484,0.0004,0.000345
1945.3,1,1,0,1,0.000351,0.000351,0.0004,0.000345
1950.2,1,1,0,1,0.0003536,0.0003536,0.0004,0.000345
1954.9,1,1,0,1,0.0003562,0.0003562,0.0004,0.000345
1959.4,1,1,0,1,0.0003588,0.0003588,0.0004,0.000345
1964,1,1,0,1,0.0003614,0.0003614,0.0004,0.000345
1968.6,1,1,0,1,0.000364,0.000364,0.0004,0.000345
1973,1,1,0,1,0.0003666,0.0003666,0.0004,0.000345
1977.3,1,1,0,1,0.0003692,0.0003692,0.0004,0.000345
1981.7,1,1,0,1,0.0003718,0.0003718,0.0004,0.000345
1986,1,1,0,1,0.0003744,0.0003744,0.0004,0.000345
1990.2,1,1,0,1,0.000377,0.000377,0.0004,0.000345
1994.4,1,1,0,1,0.0003796,0.0003796,0.0004,0.000345
1998.5,1,1,0,1,0.0003822,0.0003822,0.0004,0.000345
2002.7,1,1,0,1,0.0003848,0.0003848,0.0004,0.000345
2006.7,1,1,0,1,0.0003874,0.0003874,0.0004,0.000345
2010.7,1,1,0,1,0.00039,0.00039,0.0004,0.000345
2014.7,1,1,0,1,0.0003926,0.0003926,0.0004,0.000345
2018.7,1,1,0,1,0.0003952,0.0003952,0.0004,0.000345
2022.6,1,1,0,1,0.0003978,0.0003978,0.0004,0.000345
2026.4,1,1,0,1,0.0004004,0.0004004,0.0004,0.000345
2030.3,1,1,0,1,0.000403,0.000403,0.0004,0.000345
2034.2,1,1,0,1,0.0004056,0.0004056,0.0004,0.000345
2038,1,1,0,1,0.0004082,0.0004082,0.0004,0.000345
2041.7,1,1,0,1,0.0004108,0.0004108,0.0004,0.000345
2045.5,1,1,0,1,0.0004134,0.0004134,0.0004,0.000345
2049.3,1,1,0,1,0.000416,0.000416,0.0004,0.000345
2053,1,1,0,1,0.0004186,0.0004186,0.0004,0.000345
2056.7,1,1,0,1,0.0004212,0.0004212,0.0004,0.000345
2060.4,1,1,0,1,0.0004238,0.0004238,0.0004,0.000345
2064.1,1,1,0,1,0.0004264,0.0004264,0.0004,0.000345
2067.7,1,1,0,1,0.000429,0.000429,0.0004,0.000345
2071.4,1,1,0,1,0.0004316,0.0004316,0.0004,0.000345
2075,1,1,0,1,0.0004342,0.0004342,0.0004,0.000345
2078.6,1,1,0,1,0.0004368,0.0004368,0.0004,0.000345
2082.2,1,1,0,1,0.0004394,0.0004394,0.0004,0.000345
2085.9,1,1,0,1,0.000442,0.000442,0.0004,0.000345
2089.5,1,1,0,1,0.0004446,0.0004446,0.0004,0.000345
2093.1,1,1,0,1,0.0004472,0.0004472,0.0004,0.000345
2096.7,1,1,0,1,0.0004498,0.0004498,0.0004,0.000345
2100.3,1,1,0,1,0.0004524,0.0004524,0.0004,0.000345
2103.8,1,1,0,1,0.000455,0.000455,0.0004,0.000345
2107.4,1,1,0,1,0.0004576,0.0004576,0.0004,0.000345
2111,1,1,0,1,0.0004602,0.0004602,0.0004,0.000345
2114.6,1,1,0,1,0.0004628,0.0004628,0.0004,0.000345
2118.2,1,1,0,1,0.0004654,0.0004654,0.0004,0.000345
2121.8,1,1,0,1,0.000468,0.000468,0.0004,0.000345
2125.4,1,1,0,1,0.0004706,0.0004706,0.0004,0.000345
2129,1,1,0,1,0.0004732,0.0004732,0.0004,0.000345
2132.6,1,1,0,1,0.0004758,0.0004758,0.0004,0.000345
2136.2,1,1,0,1,0.0004784,0.0004784,0.0004,0.000345
2139.9,1,1,0,1,0.000481,0.000481,0.0004,0.000345
2143.5,1,1,0,1,0.0004836,0.0004836,0.0004,0.000345
2147.1,1,1,0,1,0.0004862,0.0004862,0.0004,0.000345
2150.8,1,1,0,1,0.0004888,0.0004888,0.0004,0.000345
2154.4,1,1,0,1,0.0004914,0.0004914,0.0004,0.000345
2158.1,1,1,0,1,0.000494,0.000494,0.0004,0.000345
2161.8,1,1,0,1,0.0004966,0.0004966,0.0004,0.000345
2165.5,1,1,0,1,0.0004992,0.0004992,0.0004,0.000345
2169.1,1,1,0,1,0.0005018,0.0005018,0.0004,0.000345
2172.8,1,1,0,1,0.0005044,0.0005044,0.0004,0.000345
2176.6,1,1,0,1,0.000507,0.000507,0.0004,0.000345
2180.3,1,1,0,1,0.0005096,0.0005096,0.0004,0.000345
2184,1,1,0,1,0.0005122,0.0005122,0.0004,0.000345
2187.8,1,1,0,1,0.0005148,0.0005148,0.0004,0.000345
2191.6,1,1,0,1,0.0005174,0.0005174,0.0004,0.000345
2195.4,1,1,0,1,0.00052,0.00052,0.0004,0.000345
2199.2,1,1,0,1,0.0005226,0.0005226,0.0004,0.000345
2203,1,1,0,1,0.0005252,0.0005252,0.0004,0.000345
2206.8,1,1,0,1,0.0005278,0.0005278,0.0004,0.000345
2210.7,1,1,0,1,0.0005304,0.0005304,0.0004,0.000345
2214.5,1,1,0,1,0.000533,0.000533,0.0004,0.000345
2218.4,1,1,0,1,0.0005356,0.0005356,0.0004,0.000345
2222.3,1,1,0,1,0.0005382,0.0005382,0.0004,0.000345
2226.2,1,1,0,1,0.0005408,0.0005408,0.0004,0.000345
2230.2,1,1,0,1,0.0005434,0.0005434,0.0004,0.000345
2234.1,1,1,0,1,0.000546,0.000546,0.0004,0.000345
2238.1,1,1,0,1,0.0005486,0.0005486,0.0004,0.000345
2242.1,1,1,0,1,0.0005512,0.0005512,0.0004,0.000345
2246.1,1,1,0,1,0.0005538,0.0005538,0.0004,0.000345
2250.1,1,1,0,1,0.0005564,0.0005564,0.0004,0.000345
2254.2,1,1,0,1,0.000559,0.000559,0.0004,0.000345
2258.3,1,1,0,1,0.0005616,0.0005616,0.0004,0.000345
2262.3,1,1,0,1,0.0005642,0.0005642,0.0004,0.000345
2266.5,1,1,0,1,0.0005668,0.0005668,0.0004,0.000345
2270.6,1,1,0,1,0.0005694,0.0005694,0.0004,0.000345
2274.8,1,1,0,1,0.000572,0.000572,0.0004,0.000345
2278.9,1,1,0,1,0.0005746,0.0005746,0.0004,0.000345
2283.1,1,1,0,1,0.0005772,0.0005772,0.0004,0.000345
2287.4,1,1,0,1,0.0005798,0.0005798,0.0004,0.000345
2291.6,1,1,0,1,0.0005824,0.0005824,0.0004,0.000345
2295.8,1,1,0,1,0.000585,0.000585,0.0004,0.000345
2300.2,1,1,0,1,0.0005876,0.0005876,0.0004,0.000345
2304.5,1,1,0,1,0.0005902,0.0005902,0.0004,0.000345
2308.8,1,1,0,1,0.0005928,0.0005928,0.0004,0.000345
2313.1,1,1,0,1,0.0005954,0.0005954,0.0004,0.000345
2317.6,1,1,0,1,0.000598,0.000598,0.0004,0.000345
2322,1,1,0,1,0.0006006,0.0006006,0.0004,0.000345
2326.4,1,1,0,1,0.0006032,0.0006032,0.0004,0.000345
2330.8,1,1,0,1,0.0006058,0.0006058,0.0004,0.000345
2335.4,1,1,0,1,0.0006084,0.0006084,0.0004,0.000345
2339.9,1,1,0,1,0.000611,0.000611,0.0004,0.000345
2344.4,1,1,0,1,0.0006136,0.0006136,0.0004,0.000345
2349,1,1,0,1,0.0006162,0.0006162,0.0004,0.000345
2353.6,1,1,0,1,0.0006188,0.0006188,0.0004,0.000345
2358.2,1,1,0,1,0.0006214,0.0006214,0.0004,0.000345
2362.8,1,1,0,1,0.000624,0.000624,0.0004,0.000345
2367.5,1,1,0,1,0.0006266,0.0006266,0.0004,0.000345
2372.3,1,1,0,1,0.0006292,0.0006292,0.0004,0.000345
2377,1,1,0,1,0.0006318,0.0006318,0.0004,0.000345
2381.7,1,1,0,1,0.0006344,0.0006344,0.0004,0.000345
2386.5,1,1,0,1,0.000637,0.000637,0.0004,0.000345
