"temp","mpPhase","mpLiqPhase","vtkGhostType","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
462.84,0,0,0,1,0,0,0.0004,0.000345
462.84,0,0,0,1,2.6e-06,2.6e-06,0.0004,0.000345
462.96,0,0,0,1,5.2e-06,5.2e-06,0.0004,0.000345
464.41,0,0,0,1,7.8e-06,7.8e-06,0.0004,0.000345
465.86,0,0,0,1,1.04e-05,1.04e-05,0.0004,0.000345
467.31,0,0,0,1,1.3e-05,1.3e-05,0.0004,0.000345
469.1,0,0,0,1,1.56e-05,1.56e-05,0.0004,0.000345
472,0,0,0,1,1.82e-05,1.82e-05,0.0004,0.000345
474.9,0,0,0,1,2.08e-05,2.08e-05,0.0004,0.000345
477.79,0,0,0,1,2.34e-05,2.34e-05,0.0004,0.000345
481.25,0,0,0,1,2.6e-05,2.6e-05,0.0004,0.000345
485.59,0,0,0,1,2.86e-05,2.86e-05,0.0004,0.000345
489.94,0,0,0,1,3.12e-05,3.12e-05,0.0004,0.000345
494.29,0,0,0,1,3.38e-05,3.38e-05,0.0004,0.000345
499.41,0,0,0,1,3.64e-05,3.64e-05,0.0004,0.000345
505.21,0,0,0,1,3.9e-05,3.9e-05,0.0004,0.000345
511.01,0,0,0,1,4.16e-05,4.16e-05,0.0004,0.000345
516.81,0,0,0,1,4.42e-05,4.42e-05,0.0004,0.000345
523.61,0,0,0,1,4.68e-05,4.68e-05,0.0004,0.000345
530.86,0,0,0,1,4.94e-05,4.94e-05,0.0004,0.000345
538.11,0,0,0,1,5.2e-05,5.2e-05,0.0004,0.000345
545.35,0,0,0,1,5.46e-05,5.46e-05,0.0004,0.000345
553.82,0,0,0,1,5.72e-05,5.72e-05,0.0004,0.000345
562.5,0,0,0,1,5.98e-05,5.98e-05,0.0004,0.000345
571.18,0,0,0,1,6.24e-05,6.24e-05,0.0004,0.000345
579.86,0,0,0,1,6.5e-05,6.5e-05,0.0004,0.000345
589.95,0,0,0,1,6.76e-05,6.76e-05,0.0004,0.000345
600.03,0,0,0,1,7.02e-05,7.02e-05,0.0004,0.000345
610.12,0,0,0,1,7.28e-05,7.28e-05,0.0004,0.000345
620.41,0,0,0,1,7.54e-05,7.54e-05,0.0004,0.000345
631.84,0,0,0,1,7.8e-05,7.8e-05,0.0004,0.000345
643.27,0,0,0,1,8.06e-05,8.06e-05,0.0004,0.000345
654.69,0,0,0,1,8.32e-05,8.32e-05,0.0004,0.000345
666.51,0,0,0,1,8.58e-05,8.58e-05,0.0004,0.000345
679.2,0,0,0,1,8.84e-05,8.84e-05,0.0004,0.000345
691.89,0,0,0,1,9.1e-05,9.1e-05,0.0004,0.000345
704.58,0,0,0,1,9.36e-05,9.36e-05,0.0004,0.000345
717.79,0,0,0,1,9.62e-05,9.62e-05,0.0004,0.000345
731.63,0,0,0,1,9.88e-05,9.88e-05,0.0004,0.000345
745.46,0,0,0,1,0.0001014,0.0001014,0.0004,0.000345
759.29,0,0,0,1,0.000104,0.000104,0.0004,0.000345
773.73,0,0,0,1,0.0001066,0.0001066,0.0004,0.000345
788.56,0,0,0,1,0.0001092,0.0001092,0.0004,0.000345
803.39,0,0,0,1,0.0001118,0.0001118,0.0004,0.000345
818.21,0,0,0,1,0.0001144,0.0001144,0.0004,0.000345
833.66,0,0,0,1,0.000117,0.000117,0.0004,0.000345
849.3,0,0,0,1,0.0001196,0.0001196,0.0004,0.000345
864.94,0,0,0,1,0.0001222,0.0001222,0.0004,0.000345
880.59,0,0,0,1,0.0001248,0.0001248,0.0004,0.000345
896.79,0,0,0,1,0.0001274,0.0001274,0.0004,0.000345
913.03,0,0,0,1,0.00013,0.00013,0.0004,0.000345
929.28,0,0,0,1,0.0001326,0.0001326,0.0004,0.000345
945.56,0.02,0.02,0,1,0.0001352,0.0001352,0.0004,0.000345
962.18,0.28,0.28,0,1,0.0001378,0.0001378,0.0004,0.000345
978.81,0.54,0.54,0,1,0.0001404,0.0001404,0.0004,0.000345
995.43,0.8,0.8,0,1,0.000143,0.000143,0.0004,0.000345
1012.1,1,1,0,1,0.0001456,0.0001456,0.0004,0.000345
1028.8,1,1,0,1,0.0001482,0.0001482,0.0004,0.000345
1045.6,1,1,0,1,0.0001508,0.0001508,0.0004,0.000345
1062.3,1,1,0,1,0.0001534,0.0001534,0.0004,0.000345
1079,1,1,0,1,0.000156,0.000156,0.0004,0.000345
1095.7,1,1,0,1,0.0001586,0.0001586,0.0004,0.000345
1112.3,1,1,0,1,0.0001612,0.0001612,0.0004,0.000345
1128.9,1,1,0,1,0.0001638,0.0001638,0.0004,0.000345
1145.3,1,1,0,1,0.0001664,0.0001664,0.0004,0.000345
1161.5,1,1,0,1,0.000169,0.000169,0.0004,0.000345
1177.8,1,1,0,1,0.0001716,0.0001716,0.0004,0.000345
1194,1,1,0,1,0.0001742,0.0001742,0.0004,0.000345
1209.9,1,1,0,1,0.0001768,0.0001768,0.0004,0.000345
1225.6,1,1,0,1,0.0001794,0.0001794,0.0004,0.000345
1241.4,1,1,0,1,0.000182,0.000182,0.0004,0.000345
1257.1,1,1,0,1,0.0001846,0.0001846,0.0004,0.000345
1272.2,1,1,0,1,0.0001872,0.0001872,0.0004,0.000345
1287.2,1,1,0,1,0.0001898,0.0001898,0.0004,0.000345
1302.1,1,1,0,1,0.0001924,0.0001924,0.0004,0.000345
1317.1,1,1,0,1,0.000195,0.000195,0.0004,0.000345
1331.3,1,1,0,1,0.0001976,0.0001976,0.0004,0.000345
